Placa;Marca Veículo;Modelo Veículo;Data/Hora;Combustível;Estado;Endereço Posto;Quilometragem;Qtde (L);Preço Unitário;Valor Bruto
FJF-0688;FORD;F4000;03/02/2026 09:27;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;144325;8;47;R$ 376,00
FRR1B42;CAOACHERY;TIGGO 8;07/02/2026 17:20;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;221733;1;180;R$ 180,00
FRR1B42;CAOACHERY;TIGGO 8;07/02/2026 17:22;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;221733;6;62;R$ 372,00
FSH3I13;CAOACHERY;TIGGO 8;08/02/2026 12:08;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;254266;1;180;R$ 180,00
FSH3I13;CAOACHERY;TIGGO 8;08/02/2026 12:09;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;254266;5;67;R$ 335,00
FCW8I62;CITROEN;JUMPY GREE;10/02/2026 12:13;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;94377;1;82;R$ 82,00
FCW8I62;CITROEN;JUMPY GREE;10/02/2026 12:14;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;94377;6;89;R$ 534,00
FKE6H32;CAOACHERY;TIGGO 8;14/02/2026 11:32;ÓLEO LUBRIFICANTE;SP;Tiradentes, 474 - Fragata;252425;4,5;45,1;R$ 202,95
FKE6H32;CAOACHERY;TIGGO 8;14/02/2026 11:33;ÓLEO LUBRIFICANTE;SP;Tiradentes, 474 - Fragata;252425;1;138,9;R$ 138,90
FJF-0688;FORD;F4000;16/02/2026 15:45;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;741405;1;229;R$ 229,00
BVT9C05;CAOACHERY;TIGGO 8;22/02/2026 11:25;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;187068;5;67;R$ 335,00
BVT9C05;CAOACHERY;TIGGO 8;22/02/2026 11:27;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;187068;1;149;R$ 149,00
BVT9C05;CAOACHERY;TIGGO 8;22/02/2026 11:28;FILTRO DE COMBUSTÍVEL;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;187068;1;39,9;R$ 39,90
BVT9C05;CAOACHERY;TIGGO 8;24/02/2026 15:06;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;187068;1;180;R$ 180,00
FKN-6069;FORD;CARGO 816 S;02/03/2026 14:48;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;212670;1;479;R$ 479,00
FKN-6069;FORD;CARGO 816 S;02/03/2026 14:50;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;212670;1;369;R$ 369,00
FKN-6069;FORD;CARGO 816 S;02/03/2026 14:52;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;212670;1;120;R$ 120,00
FKN-6069;FORD;CARGO 816 S;02/03/2026 14:54;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;212670;1;149;R$ 149,00
FKN-6069;FORD;CARGO 816 S;02/03/2026 14:56;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;212670;1;179;R$ 179,00
BRZ-7720;GMC;12170;06/03/2026 10:28;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;298948;1;399;R$ 399,00
BRZ-7720;GMC;12170;06/03/2026 10:29;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;298948;1;160;R$ 160,00
BRZ-7720;GMC;12170;06/03/2026 10:30;FILTRO DE COMBUSTÍVEL;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;298948;1;70;R$ 70,00
BRZ-7720;GMC;12170;06/03/2026 10:31;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;298948;1;88;R$ 88,00
FJF-0688;FORD;F4000;06/03/2026 14:21;ÓLEO LUBRIFICANTE;SP; LUZIA DOS SANTOS ALVES, 650 - JARDIM NAZARETH;150237;16;3,7;R$ 59,20
GIT-5825;MITSUBISHI;OUTLANDER 2.0 P;06/03/2026 16:48;ÓLEO LUBRIFICANTE;SP;Tiradentes, 474 - Fragata;210467;1;323,9;R$ 323,90
FRR1B42;CAOACHERY;TIGGO 8;08/03/2026 15:08;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;231591;6;67;R$ 402,00
FRR1B42;CAOACHERY;TIGGO 8;08/03/2026 15:10;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;231591;1;180;R$ 180,00
FRR1B42;CAOACHERY;TIGGO 8;08/03/2026 15:11;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;231591;1;159;R$ 159,00
FYI-5976;RENAULT;MASTER;09/03/2026 14:36;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;137906;8;74;R$ 592,00
FYI-5976;RENAULT;MASTER;09/03/2026 14:37;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;137906;1;123,9;R$ 123,90
FYI-5976;RENAULT;MASTER;09/03/2026 14:38;FILTRO DE COMBUSTÍVEL;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;137906;1;129;R$ 129,00
FJG-7158;CHEVROLET;S10;13/03/2026 18:49;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;253400;2;90,5;R$ 181,00
FSH3I13;CAOACHERY;TIGGO 8;16/03/2026 11:57;ÓLEO LUBRIFICANTE;SP;Tiradentes, 474 - Fragata;263906;1;368,97;R$ 368,97
FCK-5196;CHEVROLET;S10;30/03/2026 14:55;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;466636;7;62;R$ 434,00
FCK-5196;CHEVROLET;S10;30/03/2026 14:57;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;466636;1;99,8;R$ 99,80
FMM5G11;CAOACHERY;TIGGO 8;07/04/2026 17:07;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;229982;5;49;R$ 245,00
FMM5G11;CAOACHERY;TIGGO 8;07/04/2026 17:10;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;229982;1;149;R$ 149,00
FKE6H32;CAOACHERY;TIGGO 8;19/04/2026 11:49;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;263074;1;149;R$ 149,00
FKE6H32;CAOACHERY;TIGGO 8;19/04/2026 11:50;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;263074;1;180;R$ 180,00
FKE6H32;CAOACHERY;TIGGO 8;19/04/2026 11:52;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;263074;5;49;R$ 245,00
FML8H43;CAOACHERY;TIGGO 8;21/04/2026 15:56;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;203727;1;180;R$ 180,00
FML8H43;CAOACHERY;TIGGO 8;21/04/2026 15:57;FILTRO DE COMBUSTÍVEL;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;203727;1;39,9;R$ 39,90
FML8H43;CAOACHERY;TIGGO 8;21/04/2026 15:59;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;203727;1;149;R$ 149,00
FML8H43;CAOACHERY;TIGGO 8;21/04/2026 16:01;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;203727;5;49;R$ 245,00
FJF-0688;FORD;F4000;03/05/2026 11:51;FILTRO DE COMBUSTÍVEL;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;154202;1;229;R$ 229,00
